"title","title_en","year_from","year_until","link","genres","countries"
"Prison Break",NULL,2005,2009,"http://www.imdb.com/title/tt0455275/","Action,Crime,Drama,Mystery,Thriller","USA"
"Purple And Brown",NULL,2006,NULL,"http://www.imdb.com/title/tt0799892/","Comedy","UK"
"Riget","The Kingdom",1994,1994,"http://www.imdb.com/title/tt0108906/","Comedy,Drama,Fantasy,Horror,Mystery","Denmark,France,Germany,Sweden"
"Riget II","The Kingdom II",1997,1997,"http://www.imdb.com/title/tt0127392/","Comedy,Drama,Fantasy,Horror,Mystery","Denmark,France,Germany,Italy,Norway,Sweden"
"Rose Red",NULL,2002,2002,"http://www.imdb.com/title/tt0259153/","Horror,Mystery,Thriller","Canada,USA"
"Sherlock",NULL,2010,2014,"http://www.imdb.com/title/tt1475582/","Crime,Drama,Mystery","UK"
"Spaced",NULL,1999,2001,"http://www.imdb.com/title/tt0187664/","Comedy","UK"
"Spartacus: Blood And Sand",NULL,2010,2013,"http://www.imdb.com/title/tt1442449/","Action,Adventure,Biography,Drama,History","USA"
"Spartacus: Gods Of The Arena",NULL,2011,2011,"http://www.imdb.com/title/tt1758429/","Action,Adventure,Biography,Drama,History","USA"
"Spine Chillers",NULL,2003,2003,"http://www.imdb.com/title/tt0379668/","Comedy,Horror","UK"
"Spooks",NULL,2002,2011,"http://www.imdb.com/title/tt0160904/","Drama,Thriller","UK"
"Spooks: Code 9",NULL,2008,2008,"http://www.imdb.com/title/tt1220111/","Drama","UK"
"Storm Of The Century",NULL,1999,1999,"http://www.imdb.com/title/tt0135659/","Drama,Fantasy,Horror,Thriller","Canada,USA"
"Supernatural",NULL,2005,2015,"http://www.imdb.com/title/tt0460681/","Drama,Fantasy,Horror,Mystery,Thriller","USA"
"Tales From The Crypt",NULL,1989,1996,"http://www.imdb.com/title/tt0096708/","Comedy,Crime,Horror,Mystery,Thriller","USA"
"Terminator: The Sarah Connor Chronicles",NULL,2008,2009,"http://www.imdb.com/title/tt0851851/","Action,Drama,Sci-Fi,Thriller","USA"
"The Angelos Epithemiou Show",NULL,2011,2012,"http://www.imdb.com/title/tt2269604/","Comedy","UK"
"The Benny Hill Show",NULL,1969,1989,"http://www.imdb.com/title/tt0063869/","Comedy","UK"
